timestamp,rot_command,flex_command,rot_cur_pos,flex_cur_pos,rot_next_pos,flex_next_pos,rot_cur_vel,flex_cur_vel,rot_next_vel,flex_next_vel
17:01:17.735,0,0,2049,2040,2049,2040,0,0,0,0
17:01:18.760,2368,2368,2049,2040,2049,2040,0,0,0,0
17:01:18.766,2368,2368,2049,2040,2055,2046,0,0,40,36
17:01:18.772,2368,2368,2055,2046,2068,2057,40,36,96,84
17:01:18.778,2368,2368,2068,2057,2083,2070,96,84,160,140
17:01:18.784,2368,2368,2083,2070,2100,2084,160,140,228,196
17:01:18.790,2368,2368,2100,2084,2117,2100,228,196,296,256
17:01:18.796,2368,2368,2117,2100,2135,2115,296,256,344,300
17:01:18.802,2368,2368,2135,2115,2153,2132,344,300,360,320
17:01:18.809,2368,2368,2153,2132,2171,2148,360,320,376,332
17:01:18.814,2368,2368,2171,2148,2188,2165,376,332,376,348
17:01:18.820,2368,2368,2188,2165,2205,2182,376,348,384,348
17:01:18.827,2368,2368,2205,2182,2224,2199,384,348,384,356
17:01:18.833,2368,2368,2224,2199,2241,2216,384,356,380,356
17:01:18.839,2368,2368,2241,2216,2259,2233,380,356,380,360
17:01:18.845,2368,2368,2259,2233,2277,2250,380,360,380,360
17:01:18.851,2368,2368,2277,2250,2295,2267,380,360,380,364
17:01:18.857,2368,2368,2295,2267,2310,2284,380,364,360,364
17:01:18.863,2368,2368,2310,2284,2322,2300,360,364,340,356
17:01:18.869,2368,2368,2322,2300,2332,2314,340,356,308,340
17:01:18.875,2368,2368,2332,2314,2341,2325,308,340,268,312
17:01:18.881,2368,2368,2341,2325,2348,2334,268,312,216,280
17:01:18.887,2368,2368,2348,2334,2352,2341,216,280,176,236
17:01:18.893,2368,2368,2352,2341,2356,2347,176,236,140,196
17:01:18.898,2368,2368,2356,2347,2359,2352,140,196,112,156
17:01:18.904,2368,2368,2359,2352,2361,2355,112,156,84,124
17:01:18.910,2368,2368,2361,2355,2363,2357,84,124,60,96
17:01:18.916,2368,2368,2363,2357,2365,2359,60,96,52,72
17:01:18.922,2368,2368,2365,2359,2365,2360,52,72,36,52
17:01:18.928,2368,2368,2365,2360,2365,2361,36,52,28,36
17:01:18.934,2368,2368,2365,2361,2366,2361,28,36,20,24
17:01:18.940,2368,2368,2366,2361,2366,2361,20,24,12,16
17:01:18.946,2368,2368,2366,2361,2366,2361,12,16,8,8
17:01:18.952,2368,2368,2366,2361,2367,2361,8,8,8,0
17:01:18.958,2368,2368,2367,2361,2366,2361,8,0,0,0
17:01:18.964,2368,2368,2366,2361,2367,2361,0,0,0,0
17:01:18.970,2368,2368,2367,2361,2366,2361,0,0,0,0
17:01:18.976,2368,2368,2366,2361,2367,2361,0,0,0,0
17:01:18.982,2368,2368,2367,2361,2366,2361,0,0,0,0
17:01:18.988,2368,2368,2366,2361,2367,2361,0,0,0,0
17:01:18.994,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.000,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.006,2368,2368,2367,2361,2366,2361,0,0,0,0
17:01:19.013,2368,2368,2366,2361,2367,2361,0,0,0,0
17:01:19.019,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.025,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.031,2368,2368,2367,2361,2366,2361,0,0,0,0
17:01:19.037,2368,2368,2366,2361,2367,2361,0,0,0,0
17:01:19.043,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.048,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.054,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.058,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.058,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.068,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.078,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.083,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.088,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.098,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.098,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.109,2368,2368,2367,2361,2366,2361,0,0,0,0
17:01:19.109,2368,2368,2366,2361,2367,2361,0,0,0,0
17:01:19.118,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.118,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.128,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.139,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.140,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.148,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.148,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.158,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.168,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.168,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.178,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.178,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.189,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.198,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.198,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.208,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.208,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.218,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.228,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.228,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.239,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.248,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.248,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.259,2368,2368,2367,2361,2367,2362,0,0,0,0
17:01:19.268,2368,2368,2367,2362,2367,2361,0,0,0,0
17:01:19.268,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.279,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.279,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.288,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.298,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.304,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.310,2368,2368,2367,2361,2367,2361,0,0,0,0
17:01:19.317,2368,2368,2367,2361,2367,2361,0,0,0,0
