timestamp,rot_command,flex_command,rot_cur_pos,flex_cur_pos,rot_next_pos,flex_next_pos,rot_cur_vel,flex_cur_vel,rot_next_vel,flex_next_vel
10:07:01.292,0,0,2050,2040,2050,2040,0,0,0,0
10:07:02.306,1255,2974,2050,2040,2050,2040,0,0,0,8
10:07:02.312,1255,2974,2050,2040,2044,2046,0,8,1064,36
10:07:02.318,1255,2974,2044,2046,2031,2057,1064,36,1120,84
10:07:02.324,1255,2974,2031,2057,2016,2070,1120,84,1184,140
10:07:02.330,1255,2974,2016,2070,1999,2085,1184,140,1248,200
10:07:02.336,1255,2974,1999,2085,1984,2100,1248,200,1316,264
10:07:02.342,1255,2974,1984,2100,1965,2117,1316,264,1364,304
10:07:02.348,1255,2974,1965,2117,1947,2133,1364,304,1384,328
10:07:02.353,1255,2974,1947,2133,1929,2149,1384,328,1396,340
10:07:02.359,1255,2974,1929,2149,1911,2166,1396,340,1400,344
10:07:02.365,1255,2974,1911,2166,1893,2183,1400,344,1408,352
10:07:02.371,1255,2974,1893,2183,1876,2199,1408,352,1404,348
10:07:02.377,1255,2974,1876,2199,1858,2216,1404,348,1404,352
10:07:02.383,1255,2974,1858,2216,1839,2233,1404,352,1404,356
10:07:02.389,1255,2974,1839,2233,1822,2249,1404,356,1404,356
10:07:02.395,1255,2974,1822,2249,1804,2266,1404,356,1404,356
10:07:02.401,1255,2974,1804,2266,1786,2283,1404,356,1408,360
10:07:02.407,1255,2974,1786,2283,1768,2300,1408,360,1408,360
10:07:02.413,1255,2974,1768,2300,1750,2318,1408,360,1404,360
10:07:02.419,1255,2974,1750,2318,1731,2335,1404,360,1408,364
10:07:02.425,1255,2974,1731,2335,1713,2352,1408,364,1408,368
10:07:02.431,1255,2974,1713,2352,1695,2369,1408,368,1412,372
10:07:02.437,1255,2974,1695,2369,1677,2387,1412,372,1408,368
10:07:02.443,1255,2974,1677,2387,1660,2404,1408,368,1412,364
10:07:02.449,1255,2974,1660,2404,1641,2421,1412,364,1408,368
10:07:02.455,1255,2974,1641,2421,1623,2439,1408,368,1408,368
10:07:02.461,1255,2974,1623,2439,1604,2456,1408,368,1412,372
10:07:02.467,1255,2974,1604,2456,1586,2474,1412,372,1412,368
10:07:02.474,1255,2974,1586,2474,1568,2491,1412,368,1416,372
10:07:02.480,1255,2974,1568,2491,1549,2509,1416,372,1416,372
10:07:02.486,1255,2974,1549,2509,1531,2527,1416,372,1416,372
10:07:02.492,1255,2974,1531,2527,1512,2545,1416,372,1412,376
10:07:02.498,1255,2974,1512,2545,1494,2563,1412,376,1416,376
10:07:02.504,1255,2974,1494,2563,1476,2581,1416,376,1416,380
10:07:02.510,1255,2974,1476,2581,1457,2598,1416,380,1416,384
10:07:02.516,1255,2974,1457,2598,1439,2616,1416,384,1416,380
10:07:02.522,1255,2974,1439,2616,1420,2635,1416,380,1416,380
10:07:02.528,1255,2974,1420,2635,1403,2654,1416,380,1416,380
10:07:02.534,1255,2974,1403,2654,1385,2672,1416,380,1416,380
10:07:02.540,1255,2974,1385,2672,1366,2690,1416,380,1416,388
10:07:02.546,1255,2974,1366,2690,1347,2707,1416,388,1416,384
10:07:02.552,1255,2974,1347,2707,1329,2725,1416,384,1412,388
10:07:02.558,1255,2974,1329,2725,1314,2744,1412,388,1400,380
10:07:02.564,1255,2974,1314,2744,1301,2763,1400,380,1380,384
10:07:02.570,1255,2974,1301,2763,1289,2781,1380,384,1344,384
10:07:02.576,1255,2974,1289,2781,1280,2799,1344,384,1304,388
10:07:02.582,1255,2974,1280,2799,1273,2817,1304,388,1256,392
10:07:02.588,1255,2974,1273,2817,1267,2836,1256,392,1216,388
10:07:02.594,1255,2974,1267,2836,1263,2853,1216,388,1180,388
10:07:02.600,1255,2974,1263,2853,1260,2872,1180,388,1144,388
